source,title,company,location,country,remote_type,url,primary_track,fit_score,matched_skills,missing_skills,salary_min,salary_max,currency,seniority_estimate,link_status,link_status_code
adzuna,DevOps/AWS Cloud Security engineer,CGI,Barcelona,es,,https://www.adzuna.es/details/5307342263?utm_medium=api&utm_source=76293b30,cloud_security,86.4,IAM; AWS Lambda; X-Ray; RDS; DynamoDB; API Gateway; SQS; SNS; CloudWatch,Security,,,,unknown,accessible,200
adzuna,Cloud Security Operations,Talent-R,España,es,,https://www.adzuna.es/details/5461311002?utm_medium=api&utm_source=76293b30,cloud_security,86.4,IAM; AWS Lambda; X-Ray; RDS; DynamoDB; API Gateway; SQS; SNS; CloudWatch,Security,,,,unknown,accessible,200
adzuna,"Software Development Engineer, AWS Security",AWS European Sovereign Cloud Development Center GmbH,"Berlin, Deutschland",de,,https://www.adzuna.de/details/5751324675?utm_medium=api&utm_source=76293b30,cloud_security,86.4,IAM; AWS Lambda; X-Ray; RDS; DynamoDB; API Gateway; SQS; SNS; CloudWatch,Security,,,,unknown,accessible,200
adzuna,"Software Development Engineer, AWS Security",Amazon,"Berlin, Deutschland",de,,https://www.adzuna.de/details/5752862180?utm_medium=api&utm_source=76293b30,cloud_security,86.4,IAM; AWS Lambda; X-Ray; RDS; DynamoDB; API Gateway; SQS; SNS; CloudWatch,Security,,,,unknown,accessible,200
adzuna,Senior Data Engineer (AWS to GCP),Jobgether,Deutschland,de,,https://www.adzuna.de/details/5768492226?utm_medium=api&utm_source=76293b30,backend_cloud,86.4,IAM; AWS Lambda; X-Ray; RDS; DynamoDB; API Gateway; SQS; SNS; CloudWatch,Data Engineering,,,,senior,accessible,200
remotive,Senior Data Scientist,Lemon.io,"Americas, Europe, Asia, Oceania",,remote,https://remotive.com/remote-jobs/data/senior-data-scientist-2090982,backend_cloud,82.8,IAM; AWS Lambda; X-Ray; Python; RDS; API Gateway; DynamoDB; SQS; SNS; CloudWatch; Node.js; JavaScript,LLM; AI,,,,senior,accessible,200
arbeitnow,Network-Engineer (m/w/d) - Access und Datacenter Consulting,LuConsult GmbH,Offenbach am Main,,,https://www.arbeitnow.com/jobs/companies/luconsult-gmbh/network-engineer-access-und-datacenter-consulting-offenbach-am-main-349664,platform_engineering,81.5,IAM; AWS Lambda; X-Ray; Python; RDS; DynamoDB; API Gateway; SQS; SNS; CloudWatch; Git,Terraform; CI/CD,,,,unknown,accessible,200
adzuna,"Senior Engineer (Python, AWS, ScaleUp)",Ocho,"Belfast, Northern Ireland",gb,,https://www.adzuna.co.uk/jobs/land/ad/5736675156?se=CiILj7ts8RGl0MKcaJBBpg&utm_medium=api&utm_source=76293b30&v=822BAFE69BC6DA5D93DA413D4D4FD919B0946F52,backend_cloud,80.8,IAM; AWS Lambda; X-Ray; Python; RDS; DynamoDB; API Gateway; SQS; SNS; CloudWatch,Security; AI,70000.0,70000.0,,senior,unknown,403
adzuna,Senior Generative AI Engineer | Python  AWS  RAG,act digital,España,es,,https://www.adzuna.es/land/ad/5753378849?se=vsOQmrts8RGMh_173Qd3yQ&utm_medium=api&utm_source=76293b30&v=F8A668C50208C97875F6D65A3FF185B7FA6A2015,backend_cloud,80.8,IAM; AWS Lambda; X-Ray; Python; RDS; DynamoDB; API Gateway; SQS; SNS; CloudWatch,RAG; AI,,,,senior,unknown,403
arbeitnow,Software Engineer (all genders),NFON,Munich,,remote,https://www.arbeitnow.com/jobs/companies/nfon/software-engineer-all-genders-munich-61655,backend_cloud,79.4,IAM; Kubernetes; AWS Lambda; X-Ray; RDS; API Gateway; Docker; DynamoDB; SQS; SNS; CloudWatch; Node.js; JavaScript,LLM; AI; CI/CD,,,,unknown,accessible,200
